Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate,latitude,longitude
Cameroon,Male,15-24,Youth,Africa,2014,0.0762980472212522,7.369722,12.354722
Cameroon,Female,25+,Adults,Africa,2014,0.0430309704800021,7.369722,12.354722
Cameroon,Female,15-24,Youth,Africa,2014,0.0899970453141368,7.369722,12.354722
Cameroon,Total,15-24,Youth,Africa,2014,0.0840608128072201,7.369722,12.354722
Cameroon,Total,25+,Adults,Africa,2014,0.0365575223615998,7.369722,12.354722
Canada,Total,15-24,Youth,North America,2014,0.1770528351553896,56.130366,-106.346771
Canada,Total,25+,Adults,North America,2014,0.0791721507427005,56.130366,-106.346771
Canada,Female,15-24,Youth,North America,2014,0.1540197158129415,56.130366,-106.346771
Canada,Female,25+,Adults,North America,2014,0.0747266915576566,56.130366,-106.346771
Canada,Male,15-24,Youth,North America,2014,0.1997636251309463,56.130366,-106.346771
Canada,Male,25+,Adults,North America,2014,0.0833892932928631,56.130366,-106.346771
Central African Republic,Male,15-24,Youth,Africa,2014,0.1270917832872223,6.611111,20.939444
Central African Republic,Male,25+,Adults,Africa,2014,0.0453812887802519,6.611111,20.939444
Central African Republic,Female,25+,Adults,Africa,2014,0.0606113513658706,6.611111,20.939444
Central African Republic,Female,15-24,Youth,Africa,2014,0.1548524000107443,6.611111,20.939444
Chad,Male,15-24,Youth,Africa,2014,0.025772918961025,15.454166,18.732207
Chad,Male,25+,Adults,Africa,2014,0.0108920465228719,15.454166,18.732207
Chad,Female,15-24,Youth,Africa,2014,0.0075747401219479,15.454166,18.732207
Chad,Total,25+,Adults,Africa,2014,0.0122529927386356,15.454166,18.732207
Chad,Total,15-24,Youth,Africa,2014,0.0122529927386356,15.454166,18.732207
Chad,Female,25+,Adults,Africa,2014,0.0074672969996508,15.454166,18.732207
Channel Islands,Male,15-24,Youth,Europe,2014,0.2838915898896021,,
Channel Islands,Female,15-24,Youth,Europe,2014,0.2614225469392141,,
Channel Islands,Female,25+,Adults,Europe,2014,0.0925891106395552,,
Channel Islands,Male,25+,Adults,Europe,2014,0.0885734239436998,,
Chile,Male,25+,Adults,South America,2014,0.0691262188079185,-35.675147,-71.542969
Chile,Total,15-24,Youth,South America,2014,0.2197480458782132,-35.675147,-71.542969
Chile,Female,15-24,Youth,South America,2014,0.2664186521260308,-35.675147,-71.542969
Chile,Female,25+,Adults,South America,2014,0.0713153724247226,-35.675147,-71.542969
Chile,Male,15-24,Youth,South America,2014,0.2008380563539176,-35.675147,-71.542969
Chile,Total,25+,Adults,South America,2014,0.0685621424158586,-35.675147,-71.542969
China,Total,15-24,Youth,Asia,2014,0.0832572277883728,35.86166,104.195397
China,Female,15-24,Youth,Asia,2014,0.1258427569905181,35.86166,104.195397
China,Male,15-24,Youth,Asia,2014,0.1532944747374358,35.86166,104.195397
China,Male,25+,Adults,Asia,2014,0.0556018157887668,35.86166,104.195397
China,Female,25+,Adults,Asia,2014,0.0427623626742593,35.86166,104.195397
Colombia,Male,25+,Adults,South America,2014,0.0697574471514142,4.570868,-74.297333
Colombia,Female,15-24,Youth,South America,2014,0.3164602863359209,4.570868,-74.297333
Colombia,Female,25+,Adults,South America,2014,0.115031292809369,4.570868,-74.297333
Colombia,Male,15-24,Youth,South America,2014,0.1952644443847538,4.570868,-74.297333
Colombia,Total,25+,Adults,South America,2014,0.0889629052620269,4.570868,-74.297333
Colombia,Total,15-24,Youth,South America,2014,0.2449568884471782,4.570868,-74.297333
Comoros,Total,15-24,Youth,Africa,2014,0.2611405087431841,-11.875001,43.872219
Comoros,Total,25+,Adults,Africa,2014,0.0920653254183566,-11.875001,43.872219
Comoros,Female,15-24,Youth,Africa,2014,0.1334309275027532,-11.875001,43.872219
