Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate
Croatia,Total,25+,Adults,Europe,2014,0.19553305219049666
Croatia,Female,15-24,Youth,Europe,2014,0.6227537672244756
Cuba,Male,15-24,Youth,North America,2014,0.08847941121168983
Cuba,Male,25+,Adults,North America,2014,0.024832791640925087
Cuba,Female,15-24,Youth,North America,2014,0.08804963872250128
Cuba,Female,25+,Adults,North America,2014,0.03552338230948991
Cyprus,Total,25+,Adults,Europe,2014,0.18959681968358003
Cyprus,Total,15-24,Youth,Europe,2014,0.4835612022885385
Cyprus,Male,15-24,Youth,Europe,2014,0.4914179806065164
Cyprus,Female,15-24,Youth,Europe,2014,0.46089070348384326
Cyprus,Female,25+,Adults,Europe,2014,0.17266109753149425
Cyprus,Male,25+,Adults,Europe,2014,0.1991055360068764
Czechia,Total,15-24,Youth,Europe,2014,0.21258964785516668
Czechia,Male,25+,Adults,Europe,2014,0.05769695667356094
Czechia,Male,15-24,Youth,Europe,2014,0.20168417094200758
Czechia,Female,25+,Adults,Europe,2014,0.09056112170619679
Czechia,Female,15-24,Youth,Europe,2014,0.22917617985978675
Czechia,Total,25+,Adults,Europe,2014,0.07224206935453545
Democratic Republic of Congo,Total,25+,Adults,Africa,2014,0.07289344328346183
Democratic Republic of Congo,Female,15-24,Youth,Africa,2014,0.08649171344919283
Democratic Republic of Congo,Male,25+,Adults,Africa,2014,0.05478256198125117
Democratic Republic of Congo,Male,15-24,Youth,Africa,2014,0.14237556743398963
Democratic Republic of Congo,Female,25+,Adults,Africa,2014,0.03639635767815413
Democratic Republic of Congo,Total,15-24,Youth,Africa,2014,0.07289344328346183
Denmark,Total,25+,Adults,Europe,2014,0.075895135512638
Denmark,Female,15-24,Youth,Europe,2014,0.17217760348115715
Denmark,Female,25+,Adults,Europe,2014,0.08165677294582181
Denmark,Male,15-24,Youth,Europe,2014,0.2080233151575385
Denmark,Total,15-24,Youth,Europe,2014,0.19076526363856133
Denmark,Male,25+,Adults,Europe,2014,0.07060356173950415
Djibouti,Female,15-24,Youth,Africa,2014,1.0
Djibouti,Female,25+,Adults,Africa,2014,0.3589809019850117
Djibouti,Male,15-24,Youth,Africa,2014,0.9716887372747052
Djibouti,Male,25+,Adults,Africa,2014,0.208641113110747
Djibouti,Total,25+,Adults,Africa,2014,0.5546213972978055
Djibouti,Total,15-24,Youth,Africa,2014,0.5546213972978055
